gene,protein
ENTPD1,CD39
LAMP1,CD107a
SELP,CD62P
TNFRSF8,CD30
PECAM1,CD31
CD34,CD34
CR1,CD35
CD36,CD36
LAG3,CD223
TIGIT,TIGIT
CD226,CD226
FASLG,CD178
SLAMF7,CD319
L1CAM,CD171
ERBB2,CD340
FLT4,VEGFR-3
ITGB1,CD29
CD22,CD22
MS4A1,CD20
CD27,CD27
ISG20,CD25
IL2RA,CD25
CD24,CD24
MCAM,CD146
LGALS9,Galectin-9
F3,CD142
THBD,CD141
PTGDR2,CD294
CX3CR1,CX3CR1
CLEC4C,CD303
IL6ST,GP130
LRPPRC,GP130
TNFSF10,CD253
TNFRSF18,CD357
TREM1,CD354
CLEC12A-AS1,CLEC12A
CLEC12A,CLEC12A
FOLR2,Folate
FOLR3,Folate
CD209,CD209
CTLA4,CD152
CD40LG,CD154
PVR,CD155
CDH20,Cadherin
CDH26,Cadherin
CDH4,Cadherin
CDH5,Cadherin
CDH6,Cadherin
CDH7,Cadherin
CDH9,Cadherin
MSR1,CD204
LY75,CD205
MRC1,CD206
CD207,CD207
CD1D,CD1d
TLR4,CD284
CD1C,CD1c
CD1A,CD1a
HAVCR2,CD366
CD40LG,IgM
JCHAIN,IgM
ITGA4,CD49d
SLC3A2,CD98
SLC7A5,CD98
CLEC9A,CD370
ITGA1,CD49a
C5AR2,C5L2
CD44-AS1,CD44-1
CD44-AS1,CD44-1
KIR3DL1,CD158e1
IL4R,CD124
IL7R,CD127
IL6R,CD126
PDCD1,CD279
ICOS,CD278
IL3RA,CD123
IL2RB,CD122
CD96,CD96
CD274,CD274
FAS,CD95
NGFR,CD271
TNFRSF14,CD270
BTLA,CD272
FCGR3B,CD16
CD14,CD14
FUT4,CD15
ANPEP,CD13
TNFRSF13B,CD267
CD200,CD200
CD200R1,CD200
CD200R1L,CD200
ITGB2,CD18
CD19,CD19
CCR4,CD194
CD70,CD70
TFRC,CD71
CD72,CD72
NT5E,CD73
CLEC10A,CD301
PDGFRA,CD140a
PDGFRB,CD140b
LAIR1,CD305
NRP1,CD304
CD2,CD2
CD2AP,CD2
CD2BP2,CD2
LILRA4,CD85g
MPL,CD110
CD8A,CD8
CD8B,CD8
CD9,CD9
TNFRSF9,CD137
TNFRSF4,CD134
FLT3,CD135
ITGB3,CD61
CCR2,CD192
TNFRSF13C,CD268
TNFRSF17,CD269
CD81,CD81
CD81-AS1,CD81
CD80,CD80
CD83,CD83
CCR3,CD193
CRLF2,TSLPR
CD86,CD86
ACKR2,CCR10
ACKR4,CCR10
CCR10,CCR10
NOTCH1,Notch-1
SBNO1,Notch-1
JAG1,Notch-1
DLL1,Notch-1
DLK1,Notch-1
NOTCH2,Notch-2
SBNO2,Notch-2
JAG2,Notch-2
DLK2,Notch-2
NCR3,CD337
CD79B,CD79b
CD79A,CD79a
ITGA2,CD49b
FCGR1A,CD64
CD63,CD63
CD69,CD69
CD68,CD68
KLRK1,CD314
CXCR6,CD186
CXCR5,CD185
CXCR4,CD184
ITGAE,CD103
ICAM2,CD102
VCAM1,CD106
TNFSF4,CD252
CD109,CD109
ITGA7,Integrin-7
ITGB7,Integrin-7
KIR2DL3,CD158b
CD8A,CD8a
ENPP3,CD203c
CD52,CD52
CCR5,CD195
CCR6,CD196
B3GAT1,CD57
ICAM1,CD54
CD55,CD55
CD99,CD99
CD99L2,CD99
CD59,CD59
CD93,CD93
CD244,CD244
PDCD1LG2,CD273
ABCB1,CD243
CDH2,CD325
CDH1,CD324
FCRL5,CD307e
SIRPA,CD172a
FCRL4,CD307d
GP1BA,CD42b
CSF1R,CD115
KIT,CD117
XCR1,XCR1
NECTIN2,CD112
MERTK,MERTK
CR2,CD21
CLEC1B,CLEC2
CD48,CD48
CD47,CD47
CD46,CD46
ITGA2B,CD41
CD40,CD40
CD40LG,CD40
SPN,CD43
ABCG2,CD338
GYPA,CD235a
NCR1,CD335
IFNGR1,CD119
SIGLEC1,CD169
CD28,CD28
KLRB1,CD161
CD163,CD163
CD163L1,CD163
CD164,CD164
CDH5,CD144
ITGAX,CD11c
